iter	Passed	Remaining
354	610449	1109126
355	611968	1107044
356	613552	1105081
357	615177	1103195
358	616573	1100900
359	618095	1098836
360	619821	1097135
361	621530	1095404
362	623052	1093345
363	624759	1091612
364	626367	1089708
365	627955	1087769
366	629537	1085823
367	631035	1083734
368	632620	1081798
369	634347	1080105
370	635911	1078136
371	637572	1076332
372	639129	1074354
373	640723	1072441
374	642315	1070525
375	643912	1068620
376	645497	1066697
377	647267	1065080
378	648882	1063208
379	650384	1061153
380	651935	1059180
381	653566	1057340
382	655213	1055526
383	656737	1053515
384	658289	1051553
385	659868	1049634
386	661566	1047907
387	663132	1045972
388	664816	1044222
389	666430	1042365
390	667899	1040283
391	669479	1038376
392	670993	1036368
393	672504	1034359
394	674075	1032445
395	675582	1030434
396	677090	1028427
397	678708	1026589
398	680373	1024823
399	681971	1022957
400	683532	1021037
401	685115	1019151
402	686657	1017207
403	688207	1015277
404	689822	1013443
405	691482	1011676
406	693152	1009924
407	694846	1008208
408	696624	1006614
409	698234	1004775
410	699857	1002958
411	701450	1001099
412	703070	999279
413	704627	997371
414	706382	995744
415	707982	993898
416	709591	992066
417	711233	990281
418	712791	988381
419	714474	986655
420	716137	984901
421	717803	983153
422	719429	981349
423	721065	979561
424	722660	977716
425	724181	975774
426	725888	974084
427	727454	972205
428	729004	970306
429	730598	968468
430	732027	966411
431	733718	964703
432	735372	962947
433	736915	961045
434	738598	959328
435	740241	957559
436	741816	955704
437	743497	953985
438	745073	952132
439	746737	950392
440	748394	948645
441	750005	946838
442	751575	944983
443	753204	943202
444	754802	941382
445	756484	939669
446	758150	937936
447	759753	936125
448	761394	934361
449	762944	932487
450	764478	930595
451	766017	928711
452	767701	927004
453	769303	925197
454	770957	923454
455	772518	921601
456	774169	919855
457	775842	918136
458	777363	916239
459	779094	914588
460	780705	912799
461	782285	910972
462	783875	909159
463	785516	907406
464	787013	905488
465	788698	903787
466	790359	902059
467	792005	900313
468	793595	898505
469	795287	896813
470	796960	895099
471	798531	893273
472	800292	891657
473	801999	889982
474	803589	888178
475	805254	886456
476	806891	884705
477	808455	882873
478	809985	881007
479	811628	879264
480	813235	877482
481	814809	875667
482	816469	873943
483	817974	872055
484	819516	870208
485	821211	868524
486	822909	866843
487	824619	865174
488	826212	863384
489	827782	861569
490	829395	859801
491	831016	858041
492	832703	856350
493	834245	854510
494	835842	852728
495	837403	850909
496	839036	849165
497	840690	847443
498	842235	845611
499	843827	843827
500	845310	841936
501	846942	840194
502	848519	838397
503	850046	836553
504	851614	834750
505	853169	832936
506	854895	831288
507	856462	829487
508	858022	827679
509	859774	826058
510	861434	824347
511	862868	822421
512	864435	820623
513	865987	818812
514	867543	817007
515	869075	815179
516	870831	813561
517	872394	811764
518	874022	810028
519	875700	808338
520	877364	806636
521	878901	804818
522	880594	803142
523	882148	801340
524	883573	799423
525	885193	797683
526	886793	795926
527	888359	794139
528	889973	792396
529	891575	790642
530	893219	788926
531	894800	787155
532	896379	785383
533	898061	783701
534	899686	781970
535	901220	780160
536	902892	778471
537	904490	776719
538	906128	775000
539	907751	773269
540	909291	771468
541	910944	769765
542	912536	768009
543	914152	766274
544	915745	764521
545	917327	762759
546	918975	761052
547	920578	759308
548	922226	757603
549	923768	755810
550	925401	754093
551	927045	752385
552	928705	750689
553	930392	749015
554	932113	747370
555	933891	745769
556	935449	743993
557	937085	742278
558	938651	740510
559	940299	738807
560	941979	737128
561	943552	735366
562	945199	733662
563	946866	731974
564	948455	730226
565	949992	728439
566	951605	726710
567	953131	724916
568	954779	723215
569	956303	721421
570	957917	719696
571	959580	718007
572	961240	716316
573	962837	714579
574	964419	712832
575	966077	711140
576	967676	709405
577	969405	707766
578	971033	706053
579	972744	704401
580	974344	702668
581	976003	700978
582	977605	699247
583	979166	697488
584	980788	695773
585	982399	694050
586	983993	692315
587	985462	690494
588	987074	688773
589	988674	687044
590	990317	685346
591	991905	683610
592	993410	681818
593	995001	680085
594	996543	678319
595	998090	676557
596	999789	674899
597	1001461	673223
598	1003151	671558
599	1004830	669886
600	1006353	668111
601	1008010	666425
602	1009565	664672
603	1011105	662910
604	1012594	661115
605	1014224	659413
606	1015897	657739
607	1017497	656018
608	1019157	654335
609	1020802	652643
610	1022413	650930
611	1024087	649258
612	1025710	647552
613	1027451	645922
614	1029011	644177
615	1030601	642452
616	1032228	640751
617	1033882	639066
618	1035483	637349
619	1037229	635721
620	1038891	634041
621	1040484	632319
622	1042083	630602
623	1043684	628886
624	1045397	627238
625	1047059	625559
626	1048624	623822
627	1050188	622086
628	1051741	620343
629	1053464	618701
630	1055053	616980
631	1056663	615272
632	1058278	613567
633	1060075	611967
634	1061702	610269
635	1063322	608567
636	1065006	606903
637	1066441	605096
638	1068062	603396
639	1069618	601660
640	1071199	599938
641	1072858	598260
642	1074513	596580
643	1076098	594862
644	1077769	593190
645	1079436	591517
646	1081054	589818
647	1082700	588133
648	1084374	586464
649	1086092	584818
650	1087760	583146
651	1089536	581531
652	1091212	579863
653	1093005	578256
654	1094876	576690
655	1096521	575005
656	1098159	573316
657	1099849	571654
658	1101546	569996
659	1103102	568265
660	1104770	566591
661	1106350	564874
662	1108104	563244
663	1109762	561566
664	1111240	559798
665	1112625	557983
666	1114269	556299
667	1116019	554668
668	1117596	552951
669	1119401	551346
670	1121078	549679
671	1122892	548078
672	1124515	546384
673	1126207	544723
674	1127945	543084
675	1129644	541427
676	1131295	539746
677	1133045	538112
678	1134626	536399
679	1136533	534839
680	1138329	533226
681	1139984	531546
682	1141604	529851
683	1143261	528173
684	1144954	526511
685	1146649	524851
686	1148359	523197
687	1149997	521510
688	1151747	519874
689	1153337	518165
690	1155064	516519
691	1156697	514830
692	1158319	513137
693	1160127	511525
694	1161842	509873
695	1163725	508293
696	1165602	506710
697	1167538	505152
698	1169133	503446
699	1170783	501764
700	1172476	500100
701	1174329	498504
702	1175985	496824
703	1177614	495133
704	1179586	493585
705	1181334	491943
706	1183090	490305
707	1184835	488661
708	1186712	487071
709	1188578	485475
710	1190311	483825
711	1191934	482130
712	1193836	480548
713	1195465	478856
714	1197134	477179
715	1198827	475512
716	1200353	473779
717	1201994	472092
718	1203714	470436
719	1205405	468768
720	1207217	467147
721	1208846	465456
722	1210525	463783
723	1212162	462094
724	1213826	460416
725	1215482	458735
726	1217112	457045
727	1218726	455348
728	1220305	453638
729	1221960	451958
730	1223518	450241
731	1225100	448534
732	1226886	446901
733	1228515	445211
734	1230189	443537
735	1231814	441846
736	1233531	440188
737	1235281	438541
738	1236968	436872
739	1238640	435198
740	1240408	433556
741	1242036	431866
742	1243709	430193
743	1245364	428512
744	1246966	426814
745	1248583	425120
746	1250231	423438
747	1251863	421750
748	1253546	420080
749	1255173	418391
750	1256796	416700
751	1258467	415026
752	1260192	413369
753	1261743	411656
754	1263408	409980
755	1265050	408296
756	1266758	406634
757	1268410	404954
758	1270153	403303
759	1271783	401615
760	1273317	399898
761	1274926	398205
762	1276619	396538
763	1278383	394893
764	1279957	393189
765	1281596	391506
766	1283185	389807
767	1284784	388112
768	1286542	386464
769	1288106	384759
770	1289788	383088
771	1291545	381440
772	1293223	379769
773	1294855	378084
774	1296446	376387
775	1298199	374738
776	1299926	373080
777	1301514	371383
778	1303153	369700
779	1304848	368034
780	1306470	366347
781	1308087	364658
782	1309793	362995
783	1311519	361336
784	1313277	359687
785	1315192	358080
786	1316908	356418
787	1318557	354738
788	1320251	353071
789	1321883	351386
790	1323598	349724
791	1325211	348035
792	1326873	346359
793	1328533	344682
794	1330182	343003
795	1331793	341314
796	1333517	339653
797	1335092	337955
798	1336707	336268
799	1338315	334578
800	1340012	332912
801	1341734	331251
802	1343414	329579
803	1345000	327885
804	1346631	326202
805	1348292	324526
806	1349936	322847
807	1351585	321168
808	1353302	319506
809	1355087	317860
810	1356738	316182
811	1358345	314493
812	1360051	312828
813	1361624	311132
814	1363199	309437
815	1364839	307757
816	1366551	306094
817	1368199	304415
818	1369902	302750
819	1371476	301055
820	1373294	299414
821	1374897	297727
822	1376621	296065
823	1378288	294391
824	1380008	292729
825	1381620	291043
826	1383391	289391
827	1385052	287716
828	1386767	286052
829	1388363	284363
830	1390049	282693
831	1391763	281029
832	1393370	279343
833	1394910	277644
834	1396631	275981
835	1398353	274318
836	1399887	272618
837	1401532	270940
838	1403206	269268
839	1404803	267581
840	1406373	265889
841	1408069	264222
842	1409733	262548
843	1411303	260857
844	1412938	259177
845	1414530	257491
846	1416162	255812
847	1417806	254135
848	1419351	252440
849	1420974	250760
850	1422543	249070
851	1424274	247409
852	1425854	245721
853	1427519	244049
854	1429130	242367
855	1430747	240686
856	1432340	239002
857	1434083	237342
858	1435812	235680
859	1437584	234025
860	1439254	232353
861	1440927	230682
862	1442616	229013
863	1444240	227334
864	1445909	225662
865	1447588	223991
866	1449272	222322
867	1450952	220651
868	1452676	218988
869	1454515	217341
870	1456334	215691
871	1458014	214020
872	1459767	212360
873	1461479	210693
874	1463213	209030
875	1464892	207359
876	1466529	205682
877	1468220	204012
878	1469829	202331
879	1471594	200672
880	1473271	199000
881	1474917	197324
882	1476577	195650
883	1478207	193972
884	1479848	192296
885	1481452	190615
886	1483188	188951
887	1484889	187283
888	1486492	185602
889	1488092	183921
890	1489765	182249
891	1491400	180573
892	1493025	178895
893	1494698	177223
894	1496388	175553
895	1497955	173869
896	1499671	172203
897	1501322	170528
898	1502951	168852
899	1504549	167172
900	1506071	165483
901	1507666	163804
902	1509311	162129
903	1510892	160448
904	1512470	158767
905	1514196	157102
906	1515786	155422
907	1517360	153741
908	1519042	152071
909	1520682	150397
910	1522352	148725
911	1524029	147055
912	1525703	145384
913	1527398	143715
914	1529126	142049
915	1530801	140379
916	1532515	138711
917	1534064	137029
918	1535744	135359
919	1537340	133681
920	1538956	132006
921	1540559	130329
922	1542256	128660
923	1544032	126998
924	1545582	125317
925	1547179	123640
926	1548742	121961
927	1550396	120289
928	1551918	118607
929	1553611	116938
930	1555272	115267
931	1556932	113595
932	1558610	111925
933	1560304	110257
934	1561959	108585
935	1563570	106910
936	1565232	105239
937	1566868	103567
938	1568450	101890
939	1570102	100219
940	1571755	98547
941	1573340	96872
942	1575064	95205
