iter	Logloss
0	0.6929728377
1	0.6927988577
2	0.6926250904
3	0.6924522849
4	0.6922782979
5	0.6921056888
6	0.691933588
7	0.6917617777
8	0.6915892184
9	0.6914174404
10	0.691246229
11	0.6910784524
12	0.6909087531
13	0.6907396717
14	0.6905700898
15	0.6904020755
16	0.6902334823
17	0.6900645987
18	0.6898979173
19	0.6897299484
20	0.6895637713
21	0.6893971252
22	0.6892308062
23	0.6890646108
24	0.6888988976
25	0.6887334946
26	0.6885684037
27	0.6884040611
28	0.6882408713
29	0.6880770666
30	0.6879133358
31	0.6877514151
32	0.6875877338
33	0.6874247108
34	0.6872624529
35	0.687101075
36	0.6869388382
37	0.6867763309
38	0.6866149146
39	0.6864546551
40	0.6862951556
41	0.6861359371
42	0.6859763311
43	0.6858172643
44	0.6856578688
45	0.6855006955
46	0.6853431257
47	0.6851850941
48	0.6850273233
49	0.6848703547
50	0.6847123917
51	0.6845555445
52	0.6844012054
53	0.6842467554
54	0.6840904426
55	0.6839353251
56	0.6837813482
57	0.6836285877
58	0.6834737482
59	0.6833195882
60	0.6831661507
61	0.6830127992
62	0.6828594789
63	0.6827074968
64	0.6825559743
65	0.6824052821
66	0.6822527359
67	0.6821019638
68	0.6819511477
69	0.6818021721
70	0.6816530783
71	0.6815036157
72	0.6813530839
73	0.6812030887
74	0.6810539432
75	0.6809045775
76	0.6807548511
77	0.6806062272
78	0.6804588044
79	0.6803134755
80	0.68016586
81	0.6800209439
82	0.6798735727
83	0.67972684
84	0.6795807726
85	0.6794348082
86	0.6792897923
87	0.6791455074
88	0.6789995092
89	0.6788542472
90	0.6787101332
91	0.6785654699
92	0.6784206881
93	0.6782781341
94	0.6781354634
95	0.677993503
96	0.677850534
97	0.6777081906
98	0.677567379
99	0.6774257424
100	0.6772840831
101	0.6771436391
102	0.6770015415
103	0.6768621328
104	0.6767226563
105	0.6765826937
106	0.6764424604
107	0.6763037301
108	0.6761654687
109	0.6760258618
110	0.6758865181
111	0.6757482271
112	0.6756104295
113	0.6754721307
114	0.6753345376
115	0.6751991014
116	0.6750617559
117	0.6749245419
118	0.6747890155
119	0.6746525351
120	0.6745175456
121	0.674382285
122	0.6742483436
123	0.6741154845
124	0.6739820847
125	0.6738480354
126	0.6737165759
127	0.6735818443
128	0.6734483935
129	0.6733161146
130	0.6731830231
131	0.6730495743
132	0.6729185784
133	0.6727858264
134	0.6726548266
135	0.6725231516
136	0.6723918601
137	0.6722601888
138	0.6721291952
139	0.671998337
140	0.6718691188
141	0.6717388792
142	0.6716111076
143	0.6714833043
144	0.6713540356
145	0.6712258584
146	0.6710972397
147	0.6709687291
148	0.6708417028
149	0.6707151477
150	0.6705888853
151	0.6704630608
152	0.6703358513
153	0.670210966
154	0.6700842369
155	0.6699603719
156	0.6698339412
157	0.6697068539
158	0.6695815085
159	0.6694566813
160	0.6693322657
161	0.6692090419
162	0.6690858833
163	0.6689616505
164	0.6688386622
165	0.6687143433
166	0.6685912182
167	0.6684685629
168	0.6683456717
169	0.6682224225
170	0.6680996349
171	0.6679768277
172	0.6678542407
173	0.6677327797
174	0.6676129969
175	0.6674915233
176	0.6673713378
177	0.6672513913
178	0.6671314462
179	0.6670117701
180	0.6668928238
181	0.6667737989
182	0.6666549177
183	0.6665361866
184	0.6664178193
185	0.6663005129
186	0.6661825899
187	0.666065932
188	0.6659480333
189	0.6658303153
190	0.6657130785
191	0.6655959695
192	0.6654788226
193	0.6653627215
194	0.6652447774
195	0.6651283812
196	0.6650113672
197	0.664895217
198	0.66478036
199	0.6646661486
200	0.6645507576
201	0.6644366442
202	0.66432214
203	0.6642083952
204	0.6640949326
205	0.6639801648
206	0.6638668971
207	0.6637534382
208	0.6636408044
209	0.6635290665
210	0.6634177453
211	0.6633070099
212	0.6631937912
213	0.6630832126
214	0.6629719387
215	0.6628622946
216	0.662750813
217	0.6626393005
218	0.662527318
219	0.6624176719
220	0.6623082039
221	0.6621992767
222	0.6620914346
223	0.6619814053
224	0.6618721607
225	0.661764656
226	0.661655392
227	0.6615471561
228	0.6614383911
229	0.6613299919
230	0.6612225097
231	0.6611145659
232	0.6610079246
233	0.6608996145
234	0.6607933167
235	0.6606870819
236	0.6605803628
237	0.6604735576
238	0.6603683612
239	0.6602613551
240	0.660156234
241	0.6600504738
242	0.6599449483
243	0.659841054
244	0.6597355334
245	0.6596312535
246	0.6595265357
247	0.659422984
248	0.6593183166
249	0.6592148522
250	0.6591118662
251	0.6590082644
252	0.6589055003
253	0.6588027957
254	0.6587003011
255	0.6585971641
256	0.6584939763
257	0.6583912993
258	0.658288376
259	0.6581859889
260	0.6580852217
261	0.657985057
262	0.6578858423
263	0.6577846533
264	0.6576837971
265	0.6575828297
266	0.6574820403
267	0.6573823887
268	0.6572817979
269	0.6571827797
270	0.6570831172
271	0.6569829813
272	0.656883658
273	0.6567851949
274	0.6566870297
275	0.6565878985
276	0.6564910004
277	0.6563924907
278	0.6562958459
279	0.6562000125
280	0.6561029108
281	0.6560051194
282	0.6559081661
283	0.6558107304
284	0.6557153375
285	0.6556185596
286	0.6555223497
287	0.6554253974
288	0.6553294365
289	0.6552337232
290	0.6551384349
291	0.6550427008
292	0.6549484692
293	0.654855426
294	0.6547616099
295	0.65466674
296	0.6545719715
297	0.6544783925
298	0.6543855064
299	0.654293859
300	0.6542000727
301	0.6541075006
302	0.6540144136
303	0.6539216738
304	0.6538277523
305	0.6537346277
306	0.6536416739
307	0.6535495257
